Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Milan,32,38.0,20763,18897,1866,552,40,3059,526,505,208,81,76,7,14114,3114,3535,8213,10506,588,743,298,17281,52,260,302,438
Napoli,25,38.0,24509,22647,1862,606,54,3587,690,576,222,72,97,13,17943,3383,3183,7993,14803,504,709,270,21244,43,267,285,514
Parma,25,38.0,15701,13798,1903,527,31,2320,623,419,165,68,49,20,9392,2500,3809,4939,8827,570,734,209,12330,54,304,273,400
Roma,31,38.0,19367,17576,1791,527,61,3043,634,492,265,60,137,26,13431,2607,3329,4963,12579,525,662,295,16108,36,285,246,449
Sampdoria,31,38.0,15816,13919,1897,558,19,2587,527,521,195,82,70,10,9200,2640,3976,5767,7989,683,734,238,12022,47,279,242,433
Sassuolo,31,38.0,21783,19918,1865,620,64,3342,458,321,207,100,67,20,16337,2732,2714,7143,13036,421,675,274,18697,58,305,311,430
SPAL,34,38.0,16904,14978,1926,603,19,2709,421,468,158,61,61,11,10446,2667,3791,4544,10287,698,697,299,13452,42,310,166,447
Torino,27,38.0,16200,14238,1962,614,22,2492,647,585,179,48,36,10,9838,2336,4026,3238,10955,604,707,190,12628,56,330,238,438
Udinese,25,38.0,17002,15220,1782,474,22,2469,537,512,198,76,48,5,11023,2528,3451,5046,10119,548,664,278,13535,57,271,227,436
Atalanta,27,38.0,22052,20093,1959,565,64,3441,613,500,241,35,24,17,15984,2678,3390,6438,13412,821,810,245,18178,62,324,371,501
Bologna,29,38.0,16034,14024,2010,549,32,2553,443,471,201,46,10,14,9736,2275,4023,3970,9588,842,824,312,12116,68,346,256,480
Cagliari,30,38.0,18873,16877,1996,537,14,3283,554,491,189,24,30,6,11294,2720,4859,3592,12596,976,817,343,14565,55,374,286,469
Chievo,36,38.0,16534,14685,1849,522,23,2616,570,461,128,9,17,1,9760,2403,4371,4502,9701,880,748,254,12555,66,377,292,438
Empoli,29,38.0,18406,16475,1931,525,43,2796,634,434,187,16,17,11,12500,2311,3595,5775,10687,611,768,312,14685,65,370,313,451
Fiorentina,27,38.0,17251,15342,1909,545,40,2440,531,505,233,25,30,10,11233,2202,3816,4950,10124,839,753,250,13356,40,411,280,420
Frosinone,33,38.0,15516,13578,1938,577,17,2388,505,508,160,33,20,4,9124,2170,4222,4839,8542,714,742,332,11524,67,314,239,475
Genoa,31,38.0,15296,13370,1926,534,26,2735,467,538,186,17,35,11,8882,2147,4267,4115,8915,798,774,190,11178,59,317,264,424
Inter,23,38.0,23416,21461,1955,533,37,3411,709,764,303,37,35,12,16678,2735,4003,6223,15039,779,793,305,19563,50,347,321,483
Juventus,31,38.0,21842,20114,1728,481,48,3074,887,621,239,18,18,9,15403,2646,3793,7512,12329,740,662,283,18393,64,318,349,404
Lazio,30,38.0,19761,18052,1709,423,40,3332,548,485,226,22,29,10,13624,2329,3808,4828,12717,856,714,282,15879,88,314,362,417
Milan,23,38.0,20973,19076,1897,522,70,3225,649,511,230,40,14,4,15199,2297,3477,7140,11943,581,757,289,17532,54,294,344,424
Napoli,26,38.0,24768,22988,1780,465,84,3376,755,553,255,35,26,7,17957,3044,3767,7546,15361,654,720,251,21121,72,321,351,479
Parma,31,38.0,13626,11751,1875,450,26,2389,426,311,144,23,18,4,7828,2098,3700,4867,6755,708,716,213,9996,83,327,268,415
Roma,26,38.0,19067,17191,1876,494,49,3239,574,589,224,23,35,3,12635,2764,3668,5319,11467,801,775,283,15367,42,347,318,432
Sampdoria,24,38.0,21150,19273,1877,616,43,3162,556,463,167,31,13,5,15031,2708,3411,6607,12435,806,695,315,17188,66,321,422,515
Sassuolo,29,38.0,20036,18102,1934,617,34,2812,493,413,186,19,31,11,14320,2375,3341,7051,11161,556,723,253,16500,65,333,318,480
SPAL,28,38.0,17861,15894,1967,643,16,2999,436,552,194,24,21,5,11966,2322,3573,5053,10766,732,705,257,14319,32,347,266,456
Torino,25,38.0,17023,15055,1968,607,20,2588,625,622,174,17,17,1,10149,2364,4510,4105,10306,992,791,230,12929,66,406,234,458
Udinese,31,38.0,15160,13289,1871,498,24,2469,528,366,162,14,34,3,9361,2176,3623,3762,9338,685,716,228,11534,50,321,245,412
Atalanta,25,38.0,20966,19111,1855,473,21,3404,731,489,228,59,68,19,13731,2959,4276,5773,12867,829,828,279,16813,68,441,375,510
Benevento,41,38.0,17812,16066,1746,490,16,2907,509,422,163,48,24,12,11931,2262,3619,6316,9705,544,665,281,14168,75,370,257,428
Bologna,30,38.0,17603,15743,1860,496,17,2899,538,303,149,79,10,10,10643,2690,4270,4608,10553,891,787,262,13639,60,422,262,459
Cagliari,29,38.0,16636,14680,1956,496,13,2616,554,446,177,44,54,13,8712,2708,5216,3436,10462,1014,835,319,12167,75,394,246,431
Chievo,25,38.0,16824,14979,1845,498,10,2494,588,522,146,52,31,24,9444,2571,4809,4053,10436,869,749,294,12575,95,374,244,417
Crotone,29,38.0,14840,13039,1801,472,9,2431,410,391,132,49,13,14,7272,2781,4787,5191,7112,1006,766,212,10311,77,412,234,486
Fiorentina,27,38.0,19375,17622,1753,421,22,2972,558,486,210,30,79,21,12230,2967,4178,5625,11372,896,802,283,15290,69,415,266,460
Genoa,33,38.0,17522,15699,1823,462,20,2485,493,464,179,54,34,16,10565,2366,4591,6313,8842,884,777,236,13218,79,391,286,480
Hellas Verona,32,38.0,15515,13725,1790,411,8,2432,581,405,139,23,33,16,8526,2826,4163,4572,8689,781,748,325,11493,69,405,244,457
Inter,22,38.0,22639,20919,1720,387,21,3462,636,691,275,59,55,37,15709,3085,3845,4231,16232,782,726,364,18750,83,334,332,489
Juventus,24,38.0,23398,21895,1503,423,25,3135,917,484,175,21,46,12,16564,3083,3751,8817,12579,788,661,256,20058,73,297,264,428
Lazio,24,38.0,20211,18624,1587,342,42,3064,616,489,212,41,41,9,13516,2770,3925,4247,13804,840,697,306,16308,87,316,325,501
Milan,23,38.0,21543,19913,1630,445,19,3428,691,579,239,42,25,15,15038,2317,4188,6180,13449,722,682,245,17744,73,345,313,458
Napoli,23,38.0,29004,27360,1644,361,55,3884,674,472,236,54,20,33,21142,4307,3555,6460,20370,833,792,288,24985,72,382,456,522
Roma,27,38.0,21399,19701,1698,418,41,3211,700,624,261,45,30,9,14338,2929,4132,7233,11806,862,773,315,17296,60,424,317,519
Sampdoria,27,38.0,20144,18275,1869,546,24,2929,546,464,220,64,52,23,13073,2841,4230,6568,11412,820,748,245,16148,45,311,315,468
Sassuolo,28,38.0,15749,13879,1870,546,17,2499,554,490,193,50,32,12,8523,2540,4686,5739,7612,929,770,244,11497,70,406,257,488
SPAL,29,38.0,16025,14112,1913,632,17,2782,496,413,172,47,53,13,9514,2236,4275,4297,9639,743,701,231,12214,82,338,193,436
Torino,27,38.0,18316,16416,1900,516,19,3042,601,418,167,41,30,10,11370,2714,4232,4983,10921,830,859,299,14425,63,398,252,487
Udinese,27,38.0,16647,14800,1847,422,21,2249,471,459,175,41,42,13,10034,2353,4260,6066,8246,835,852,271,12619,46,352,242,413
